vega_bucket,n,squared_sum,max_absolute_target,row_share,squared_target_share,mean_absolute_target
"(0.0, 0.1]",29587,40897757.7271965,1347.7825,0.005367634039366399,0.593618765055266,7.300456070233548
"(0.1, 0.5]",132218,16864605.603022136,615.7702,0.023986813040083366,0.2447847243359465,3.424130980653164
"(0.5, 1.0]",165803,3806583.04415062,136.17699,0.03007975890185105,0.05525141844748034,1.880382517204152
"(1.0, 3.0]",794674,2687000.2529865727,78.81154,0.1441686961367984,0.03900100789194088,0.7843737652169317
"(3.0, 10.0]",2848995,4499642.597656874,1340.5052,0.5168608693001884,0.0653109713209268,0.30083595267804963
"(10.0, inf]",1540835,140072.66227434733,55.6599,0.2795362285817124,0.002033112948439417,0.11149470092514772
